Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA50,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,VMA5,VMA20,Volume_Osc,Previous day open price,Change in open price,Percent change in open price,Previous day high price,Change in high price,Percent change in high price,Previous day low price,Change in low price,Percent change in low price
2025-03-05,235.42,236.55,229.23,235.74,234.94,47227600.0,237.76800000000003,239.03249999999997,,235.93,-0.18999999999999773,-0.0008053236129360597,53798100.0,-6570500.0,-0.12213256601998956,49239340.0,44617570.0,10.358632260788744,237.71,-2.2900000000000205,-0.00963358714399909,240.07,-3.519999999999982,-0.01466239013621018,234.68,-5.450000000000017,-0.02322311232316354
2025-03-06,234.44,237.86,233.16,235.33,234.53,45170400.0,237.37399999999997,239.1755,,235.74,-0.4099999999999966,-0.0017392042080257575,47227600.0,-2057200.0,-0.04355927466142684,50042700.0,44895075.0,11.465901326593173,235.42,-0.9799999999999898,-0.004162772916489588,236.55,1.3100000000000023,0.005537941238638711,229.23,3.930000000000007,0.017144352833398768
2025-03-07,235.11,241.37,234.76,239.07,238.26,46273600.0,236.82000000000002,239.468,,235.33,3.7399999999999807,0.01589257638210162,45170400.0,1103200.0,0.024423073517170435,47930740.0,45712490.0,4.852612491684439,234.44,0.6700000000000159,0.0028578740829210414,237.86,3.509999999999991,0.01475657950054643,233.16,1.5999999999999943,0.006862240521530172
2025-03-10,235.54,236.16,224.22,227.48,226.7,72071200.0,234.70999999999998,239.4605,,239.07,-11.590000000000003,-0.048479524825364995,46273600.0,25797600.0,0.5575014695204177,52908180.0,47330690.0,11.784087660670064,235.11,0.4299999999999784,0.0018289311386159302,241.37,-5.210000000000008,-0.02158511828313381,234.76,-10.539999999999992,-0.04489691599931844
2025-03-11,223.81,225.84,217.45,220.84,220.09,76137400.0,231.692,239.12000000000003,,227.48,-6.639999999999986,-0.029189379286091,72071200.0,4066200.0,0.05641920767241282,57376040.0,49481780.0,15.953872314213433,235.54,-11.72999999999999,-0.04980045852084569,236.16,-10.319999999999993,-0.04369918699186992,224.22,-6.77000000000001,-0.030193559896530275
2025-03-12,220.14,221.75,214.91,216.98,216.24,62547500.0,227.94,238.33800000000002,,220.84,-3.8600000000000136,-0.017478717623618967,76137400.0,-13589900.0,-0.17849177933577975,60440020.0,49923235.0,21.06591249545427,223.81,-3.670000000000016,-0.01639783745140977,225.84,-4.090000000000003,-0.018110166489550106,217.45,-2.539999999999992,-0.011680846171533643
2025-03-13,215.95,216.84,208.42,209.68,208.97,61368300.0,222.81,236.9785,,216.98,-7.299999999999983,-0.03364365379297618,62547500.0,-1179200.0,-0.018852871817418793,63679600.0,50729485.0,25.52778724246856,220.14,-4.189999999999998,-0.019033342418460997,221.75,-4.909999999999997,-0.022142051860202905,214.91,-6.490000000000009,-0.030198687822809545
2025-03-14,211.25,213.95,209.58,213.49,212.76,60107600.0,217.69400000000002,235.57649999999998,,209.68,3.8100000000000023,0.018170545593285015,61368300.0,-1260700.0,-0.02054317945910189,66446400.0,51054160.0,30.14884585310972,215.95,-4.699999999999989,-0.02176429729103957,216.84,-2.890000000000015,-0.013327799299022391,208.42,1.160000000000025,0.005565684675175264
2025-03-17,213.31,215.22,209.97,214.0,213.27,48073400.0,214.998,234.0465,,213.49,0.5099999999999909,0.0023888706730994524,60107600.0,-12034200.0,-0.200210955020663,61646840.0,51413020.0,19.90511352960787,211.25,2.0600000000000023,0.009751479289940912,213.95,1.2700000000000102,0.005935966347277555,209.58,0.38999999999998636,0.0018608645863154027
2025-03-18,214.16,215.15,211.49,212.69,211.97,42432400.0,213.368,232.45750000000004,,214.0,-1.3100000000000023,-0.006121495327102822,48073400.0,-5641000.0,-0.11734139877770244,54905840.0,51093515.0,7.4614655108383126,213.31,0.8499999999999943,0.003984810838685515,215.22,-0.06999999999999318,-0.0003252485828454388,209.97,1.5200000000000102,0.007239129399438049
2025-03-19,214.22,218.76,213.75,215.24,214.51,54385400.0,213.01999999999998,230.97600000000003,,212.69,2.5500000000000114,0.011989280173021921,42432400.0,11953000.0,0.2816951197669706,53273420.0,52202575.0,2.0513260121746866,214.16,0.060000000000002274,0.00028016436309297177,215.15,3.609999999999985,0.016778991401347865,211.49,2.259999999999991,0.010686084448437327
2025-03-20,213.99,217.49,212.22,214.1,213.37,48862900.0,213.904,229.3895,,215.24,-1.1400000000000148,-0.005296413306076997,54385400.0,-5522500.0,-0.10154379668072677,50772340.0,53029875.0,-4.257100360881484,214.22,-0.22999999999998977,-0.0010736625898608576,218.76,-1.2699999999999818,-0.005805448893764775,213.75,-1.5300000000000011,-0.007157894736842141
2025-03-21,211.56,218.84,211.28,218.27,217.53,94127800.0,214.85999999999999,228.02550000000002,,214.1,4.170000000000016,0.019476879962634364,48862900.0,45264900.0,0.926365401971639,57576380.0,55076395.0,4.539122431669684,213.99,-2.430000000000007,-0.011355670825739517,217.49,1.3499999999999943,0.006207181939399398,212.22,-0.9399999999999977,-0.004429365752520953
2025-03-24,221.0,221.48,218.58,220.73,219.98,44299500.0,216.206,226.70699999999997,,218.27,2.4599999999999795,0.011270444861868123,94127800.0,-49828300.0,-0.5293685818642314,56821600.0,54725050.0,3.8310609126898925,211.56,9.439999999999998,0.044620911325392365,218.84,2.6399999999999864,0.012063608115518099,211.28,7.300000000000011,0.03455130632336245
2025-03-25,220.77,224.1,220.08,223.75,222.99,34493600.0,218.41799999999998,225.54249999999996,,220.73,3.0200000000000102,0.013681873782449117,44299500.0,-9805900.0,-0.2213546428289258,55233840.0,54049065.0,2.19203606944912,221.0,-0.22999999999998977,-0.00104072398190036,221.48,2.6200000000000045,0.011829510565288137,218.58,1.5,0.006862475981334049
2025-03-26,223.51,225.02,220.47,221.53,220.78,34466100.0,219.676,224.60100000000003,,223.75,-2.219999999999999,-0.009921787709497254,34493600.0,-27500.0,-0.0007972493448059614,51249980.0,53550690.0,-4.29632185878464,220.77,2.7399999999999807,0.012411106581510012,224.1,0.9200000000000159,0.004105310129406625,220.08,0.38999999999998636,0.0017720828789531406
2025-03-27,221.39,224.99,220.56,223.85,223.09,37094800.0,221.62600000000003,223.92849999999999,,221.53,2.319999999999993,0.01047262221820966,34466100.0,2628700.0,0.07626914562425102,48896360.0,53347750.0,-8.344100735269997,223.51,-2.1200000000000045,-0.009485034226656586,225.02,-0.030000000000001137,-0.00013332148253486498,220.47,0.09000000000000341,0.0004082188052796365
