Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA50,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,VMA5,VMA20,Volume_Osc,Previous day open price,Change in open price,Percent change in open price,Previous day high price,Change in high price,Percent change in high price,Previous day low price,Change in low price,Percent change in low price
2025-02-20,361.51,362.3,348.0,354.4,354.4,45965400,356.16999999999996,,,360.56,-6.160000000000025,-0.01708453516751729,67094400.0,-21129000.0,-0.3149145085133782,64482060.0,,,354.0,7.509999999999991,0.021214689265536713,367.34,-5.039999999999964,-0.01372025916045072,353.67,-5.670000000000016,-0.01603189413860384
2025-02-21,353.44,354.98,334.42,337.8,337.8,74058600,352.54200000000003,,,354.4,-16.599999999999966,-0.04683972911963874,45965400.0,28093200.0,0.6111814538761764,61405480.0,,,361.51,-8.069999999999993,-0.022323033940969794,362.3,-7.319999999999993,-0.02020425062103226,348.0,-13.579999999999984,-0.039022988505747036
2025-02-24,338.14,342.4,324.7,330.53,330.53,76052300,347.48,,,337.8,-7.270000000000039,-0.021521610420367154,74058600.0,1993700.0,0.026920573707847506,62960480.0,,,353.44,-15.300000000000011,-0.04328881846989596,354.98,-12.580000000000041,-0.035438616260071054,334.42,-9.720000000000027,-0.029065247293822205
2025-02-25,327.02,328.89,297.25,302.8,302.8,134228800,337.21799999999996,,,330.53,-27.72999999999996,-0.08389556167367551,76052300.0,58176500.0,0.7649538541240699,79479900.0,,,338.14,-11.120000000000005,-0.03288578695215005,342.4,-13.509999999999991,-0.03945677570093453,324.7,-27.44999999999999,-0.08453957499230058
2025-02-26,303.71,309.0,288.04,290.8,290.8,100118300,323.26599999999996,,,302.8,-12.0,-0.039630118890356725,134228800.0,-34110500.0,-0.25412206620337807,86084680.0,,,327.02,-23.310000000000002,-0.07128004403400401,328.89,-19.889999999999986,-0.06047614704004378,297.25,-9.20999999999998,-0.030984020185029326
2025-02-27,291.16,297.23,280.88,281.95,281.95,101748200,308.776,,,290.8,-8.850000000000023,-0.03043328748280616,100118300.0,1629900.0,0.016279741066318465,97241240.0,,,303.71,-12.549999999999955,-0.04132231404958664,309.0,-11.769999999999982,-0.03809061488673138,288.04,-7.160000000000025,-0.024857658658519743
2025-02-28,279.5,293.88,273.6,292.98,292.98,115697000,299.812,,,281.95,11.03000000000003,0.03912041142046463,101748200.0,13948800.0,0.13709136869251748,105568920.0,,,291.16,-11.660000000000025,-0.04004670971287272,297.23,-3.3500000000000227,-0.011270733102311414,280.88,-7.279999999999973,-0.02591854172600394
2025-03-03,300.34,303.94,277.3,284.65,284.65,115551400,290.636,340.40500000000003,,292.98,-8.330000000000041,-0.028431974878831423,115697000.0,-145600.0,-0.0012584595970509538,113468740.0,84877500.0,33.685299402079465,279.5,20.839999999999975,0.0745617173524149,293.88,10.060000000000002,0.03423165918061799,273.6,3.6999999999999886,0.013523391812865437
2025-03-04,270.93,284.35,261.84,272.04,272.04,126706600,284.48400000000004,334.823,,284.65,-12.609999999999957,-0.044300017565431116,115551400.0,11155200.0,0.09653885630117842,111964300.0,86526225.0,29.39926594509353,300.34,-29.409999999999968,-0.09792235466471322,303.94,-19.589999999999975,-0.06445351056129489,277.3,-15.460000000000036,-0.055751893256401175
2025-03-05,272.92,279.55,267.71,279.1,279.1,94042900,282.144,329.16749999999996,,272.04,7.060000000000002,0.02595206587266574,126706600.0,-32663700.0,-0.2577900440861013,110749220.0,88374760.0,25.317703833085375,270.93,1.990000000000009,0.007345070682464039,284.35,-4.800000000000011,-0.016880604888341866,261.84,5.8700000000000045,0.022418270699663845
2025-03-06,272.06,272.65,260.02,263.45,263.45,98451600,278.444,323.43149999999997,,279.1,-15.650000000000034,-0.05607309208169131,94042900.0,4408700.0,0.04687966874692284,110089900.0,90436175.0,21.73214977303054,272.92,-0.8600000000000136,-0.0031511065513704084,279.55,-6.900000000000034,-0.024682525487390583,267.71,-7.689999999999998,-0.028725112995405477
2025-03-07,259.32,266.25,250.73,262.67,262.67,102369600,272.38199999999995,317.849,,263.45,-0.7799999999999727,-0.0029607136078951823,98451600.0,3918000.0,0.039796204429384696,107424420.0,91658745.0,17.20040460951107,272.06,-12.740000000000009,-0.04682790560905681,272.65,-6.399999999999977,-0.023473317439941188,260.02,-9.289999999999992,-0.03572802092146754
2025-03-10,252.54,253.37,220.0,222.15,222.15,189076900,259.882,310.8755,,262.67,-40.52000000000001,-0.15426200175124682,102369600.0,86707300.0,0.8470024304090278,122129520.0,97597675.0,25.135685865467593,259.32,-6.780000000000001,-0.026145303100416517,266.25,-12.879999999999995,-0.048375586854460084,250.73,-30.72999999999999,-0.12256211861364807
2025-03-11,225.31,237.06,217.02,230.58,230.58,174896400,251.58999999999997,304.86800000000005,,222.15,8.430000000000007,0.03794733288318697,189076900.0,-14180500.0,-0.0749985852317232,131767480.0,102466750.0,28.59535410267233,252.54,-27.22999999999999,-0.10782450304902191,253.37,-16.310000000000002,-0.06437226190946044,220.0,-2.9799999999999898,-0.013545454545454527
2025-03-12,247.22,251.84,241.1,248.09,248.09,142215700,245.388,300.8475,,230.58,17.50999999999999,0.07593893659467432,174896400.0,-32680700.0,-0.18685747676910447,141402040.0,103650365.0,36.42213416228684,225.31,21.909999999999997,0.09724379743464562,237.06,14.780000000000001,0.06234708512612852,217.02,24.079999999999984,0.11095751543636534
2025-03-13,248.13,248.29,232.6,240.68,240.68,114813500,240.834,296.056,,248.09,-7.409999999999997,-0.02986819299447785,142215700.0,-27402200.0,-0.19268055495982506,144674420.0,104121905.0,38.94715045791757,247.22,0.9099999999999966,0.0036809319634334425,251.84,-3.5500000000000114,-0.014096251588310071,241.1,-8.5,-0.03525508087930318
2025-03-14,247.31,251.58,240.73,249.98,249.98,100242300,238.296,290.758,,240.68,9.299999999999983,0.03864051853082917,114813500.0,-14571200.0,-0.12691190495891158,144248960.0,104661945.0,37.82369513580127,248.13,-0.8199999999999932,-0.0033047193003666875,248.29,3.2900000000000205,0.013250634338878076,232.6,8.129999999999995,0.03495270851246768
2025-03-17,245.06,245.4,232.8,238.01,238.01,111900600,241.46800000000002,284.8665,,249.98,-11.969999999999999,-0.04788383070645652,100242300.0,11658300.0,0.1163012021871006,128813700.0,106843110.0,20.563413026820353,247.31,-2.25,-0.00909789333225508,251.58,-6.180000000000007,-0.02456475077510134,240.73,-7.929999999999978,-0.032941469696340264
2025-03-18,228.16,230.1,222.28,225.31,225.31,111477600,240.414,278.4265,,238.01,-12.699999999999989,-0.05335910255871601,111900600.0,-423000.0,-0.0037801405890585116,116129940.0,109835405.0,5.730879765044796,245.06,-16.900000000000006,-0.06896270301150742,245.4,-15.300000000000011,-0.06234718826405872,232.8,-10.52000000000001,-0.04518900343642618
2025-03-19,231.61,241.41,229.2,235.86,235.86,111993800,237.968,272.1915,,225.31,10.550000000000011,0.04682437530513517,111477600.0,516200.0,0.004630526670828861,110085560.0,112080375.0,-1.7798075711292007,228.16,3.450000000000017,0.015120967741935498,230.1,11.310000000000002,0.04915254237288136,222.28,6.9199999999999875,0.031131905704516738
2025-03-20,233.35,238.0,230.05,236.26,236.26,99028300,237.084,266.2845,,235.86,0.39999999999997726,0.0016959213092511138,111993800.0,-12965500.0,-0.11576980154258543,106928520.0,114733520.0,-6.802719902605621,231.61,1.7399999999999807,0.007512628988385561,241.41,-3.4099999999999966,-0.014125346920177306,229.2,0.8500000000000227,0.0037085514834207522
2025-03-21,234.99,249.52,234.55,248.71,248.71,132728700,236.83,261.83,,236.26,12.450000000000017,0.05269618217218319,99028300.0,33700400.0,0.3403108000440278,113425800.0,117667025.0,-3.6044295332528375,233.35,1.6400000000000148,0.007028069423612671,238.0,11.52000000000001,0.04840336134453782,230.05,4.5,0.019560965007606956
2025-03-24,258.08,278.64,256.33,278.39,278.39,169079900,244.906,259.223,,248.71,29.67999999999998,0.11933577258654648,132728700.0,36351200.0,0.2738759590050983,124861660.0,122318405.0,2.079208766661076,234.99,23.089999999999975,0.09825950040427234,249.52,29.119999999999976,0.11670407181789022,234.55,21.779999999999973,0.09285866552973765
2025-03-25,283.6,288.2,271.28,288.14,288.14,150361500,257.47200000000004,258.48999999999995,,278.39,9.75,0.035022809727360826,169079900.0,-18718400.0,-0.11070742294027858,132638440.0,123125040.0,7.726616779170184,258.08,25.52000000000004,0.09888406695598273,278.64,9.560000000000002,0.03430950330175131,256.33,14.949999999999989,0.05832325517887105
