Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA50,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,VMA5,VMA20,Volume_Osc,Previous day open price,Change in open price,Percent change in open price,Previous day high price,Change in high price,Percent change in high price,Previous day low price,Change in low price,Percent change in low price
2025-02-03,411.6,415.41,408.66,410.92,407.91,25679100.0,,,,,,,,,,,,,,,,,,,,,
2025-02-04,412.69,413.92,409.74,412.37,409.35,20532100.0,,,,410.92,1.4499999999999886,0.0035286673805119406,25679100.0,-5147000.0,-0.2004353735138693,,,,411.6,1.089999999999975,0.0026482021379981013,415.41,-1.490000000000009,-0.003586817842613388,408.66,1.079999999999984,0.00264278373219784
2025-02-05,412.35,413.83,410.4,413.29,410.26,16316700.0,,,,412.37,0.9200000000000159,0.002231006135266833,20532100.0,-4215400.0,-0.20530778634430968,,,,412.69,-0.339999999999975,-0.0008238629479754289,413.92,-0.09000000000003183,-0.00021743332044843466,409.74,0.6599999999999682,0.0016107775662614898
2025-02-06,414.0,418.2,414.0,415.82,412.78,16309800.0,,,,413.29,2.5299999999999727,0.006121609523578986,16316700.0,-6900.0,-0.0004228796263950896,,,,412.35,1.6499999999999773,0.004001455074572613,413.83,4.3700000000000045,0.010559891742986327,410.4,3.6000000000000227,0.00877192982456143
2025-02-07,416.48,418.65,408.1,409.75,406.75,22886800.0,412.43,,,415.82,-6.069999999999993,-0.014597662450098636,16309800.0,6577000.0,0.4032544850335382,20344900.0,,,414.0,2.480000000000018,0.005990338164251208,418.2,0.44999999999998863,0.001076040172166337,414.0,-5.899999999999977,-0.014251207729468529
2025-02-10,413.71,415.46,410.92,412.22,409.2,20817900.0,412.68999999999994,,,409.75,2.4700000000000273,0.006028065893837864,22886800.0,-2068900.0,-0.09039708478249475,19372660.0,,,416.48,-2.7700000000000387,-0.006650979638878285,418.65,-3.1899999999999977,-0.007619730084796328,408.1,2.819999999999993,0.006910071061014378
2025-02-11,409.64,412.49,409.3,411.44,408.43,18140600.0,412.504,,,412.22,-0.7800000000000296,-0.0018921934889137848,20817900.0,-2677300.0,-0.12860567108113685,18894360.0,,,413.71,-4.069999999999993,-0.00983780909332621,415.46,-2.9699999999999704,-0.0071487026428536105,410.92,-1.6200000000000045,-0.00394237321133073
2025-02-12,407.21,410.75,404.37,409.04,406.04,19121700.0,411.654,,,411.44,-2.3999999999999773,-0.005833171300797191,18140600.0,981100.0,0.05408310640221381,19455360.0,,,409.64,-2.430000000000007,-0.00593203788692509,412.49,-1.740000000000009,-0.00421828407961411,409.3,-4.930000000000007,-0.012044954800879526
2025-02-13,407.0,411.0,406.36,410.54,407.53,23891700.0,410.59799999999996,,,409.04,1.5,0.003667123019753582,19121700.0,4770000.0,0.24945480788842,20971740.0,,,407.21,-0.20999999999997954,-0.0005157044276907774,410.75,0.25,0.0006086427267193439,404.37,1.990000000000009,0.004921235502139076
2025-02-14,407.79,408.91,405.88,408.43,405.44,22758500.0,410.334,,,410.54,-2.1100000000000136,-0.005139572270667969,23891700.0,-1133200.0,-0.04743069768999275,20946080.0,,,407.0,0.7900000000000205,0.001941031941032012,411.0,-2.089999999999975,-0.005085158150851532,406.36,-0.4800000000000182,-0.0011812186238803202
